,Country,MPI,Intensity,Population 2019,Nutrition,Child Mortality,Years of Schooling,School Attendance,Cooking Fuel,Sanitation,Drinking Water,Electricity,Housing,Assets,Weight,Nutrition_w,Child Mortality_w,Years of Schooling_w,School Attendance_w,Cooking Fuel_w,Sanitation_w,Drinking Water_w,Electricity_w,Housing_w,Assets_w,Health,Education,Living Standards,Health_w,Education_w,Living Standards_w
10,Costa Rica,0.002006301028898,37.12164412069069,5047.561,0.0003831863113269991,0.00042911224791097755,0.0005342240328138312,0.0002881247504470596,0.0,8.499535079767918e-05,3.629715009857045e-05,3.812542124114451e-05,0.00015915279287315572,5.308299660069559e-05,0.009301111640134299,3.5640586606236766e-06,3.9912209239689885e-06,4.968877370044213e-06,2.679880470193936e-06,0.0,7.905512466615919e-07,3.376038452855154e-07,3.5460879929103264e-07,1.4802978943523918e-06,4.937308775759391e-07,0.0008122985592379766,0.0008223487832608908,0.00037165371161124546,7.555279584592665e-06,7.64875784023815e-06,3.4567926631664706e-06
12,Trinidad and Tobago,0.0024179247712463,37.98419970686991,1394.969,0.000430069537131316,0.0006698600414409715,0.0005422026665771937,0.00028051450895339364,5.82116120381043e-06,4.5484904090772055e-05,4.409942314229658e-05,0.00013031881105830153,0.00017562300904844938,9.393070022169331e-05,0.0025705013576906755,1.105494329097448e-06,1.7218761459867495e-06,1.393732690580181e-06,7.210629261166315e-07,1.4963302777730998e-08,1.1691900771975972e-07,1.1335762706064895e-07,3.349846807579987e-07,4.514391832007609e-07,2.414489924486985e-07,0.0010999295785722874,0.0008227171755305874,0.0004952780087653232,2.8273704750841976e-06,2.1147956166968123e-06,1.273112793965598e-06
14,Cuba,0.0026887051193089,38.06035146179495,11333.484,0.0001733154426350328,9.823701478102993e-05,0.0008691291473749052,0.00020173774759125015,0.00021823133359189908,0.00028990644324368886,0.0001068542355265912,2.679875984175592e-05,0.00036788711367016764,0.0003366078598484355,0.02088414581927308,3.6195449767218833e-06,2.051596141537114e-06,1.8151019849558e-05,4.213120537947375e-06,4.557574993067648e-06,6.054448434648013e-06,2.2315594361442804e-06,5.596692083109102e-07,7.683008126919272e-06,7.029767628988163e-06,0.0002715524574160627,0.0010708668949661554,0.0013462857457225382,5.671141118258997e-06,2.2364140387505377e-05,2.8116027828078288e-05
22,Guyana,0.0065923518422243,38.81092610019624,782.775,0.0016127906535058276,0.00031432123249260313,0.0008816017255723584,0.000636433476813187,0.00047479057410730976,0.0003770681107370015,0.0003152543939071998,0.0005803938691903566,0.0007644857626484343,0.000635212038409331,0.001442414992925519,2.3263134190669518e-06,4.5338165834215857e-07,1.2716355467545787e-06,9.180011889550566e-07,6.848450425920984e-07,5.438886962811508e-07,4.5472766435739236e-07,8.371688187222229e-07,1.1027057259222014e-06,9.162393678883997e-07,0.0019271118859984307,0.0015180352023855454,0.003147204748999633,2.7796950774091102e-06,2.189636735709635e-06,4.5395753157634656e-06
23,Saint Lucia,0.007201862200938,37.48761294475549,182.795,0.005003516044030952,0.0,0.0005420191315122714,0.0,0.00018079289053637285,0.0003941092416312178,8.459779990322625e-05,0.00017069702800674293,0.0006130432374527566,0.0002130868621976877,0.00033683529575142314,1.6853608064881564e-06,0.0,1.8257117446586544e-07,0.0,6.089742675357382e-08,1.3274990296322033e-07,2.849552495032293e-08,5.7496783912540214e-08,2.0649460019580922e-07,7.177517624910088e-08,0.005003516044030952,0.0005420191315122714,0.0016563270597280042,1.6853608064881564e-06,1.8257117446586544e-07,5.579094150245674e-07
26,Barbados,0.0085288619547695,34.23407721629401,287.021,0.008191712301490408,0.0,5.6372127072499504e-05,0.0,0.0,2.669156507685964e-05,7.5235013120458395e-06,7.722237605121319e-05,0.00015054938894990954,1.8790708604161555e-05,0.0005288919468359049,4.332530667054893e-06,0.0,2.9814764034655284e-08,0.0,0.0,1.4116953817597545e-08,3.9791192559504085e-09,4.08422928090205e-08,7.962435941667352e-08,9.938254456081194e-09,0.008191712301490408,5.6372127072499504e-05,0.00028077753999418973,4.332530667054893e-06,2.9814764034655284e-08,1.4850097975532317e-07
28,Suriname,0.0112324686711466,39.3605223674374,581.363,0.0016814529839980319,0.000606320410118421,0.003143379518397723,0.0017786876699453598,0.0006308088243009747,0.0010140510284887246,0.00025551562354472616,0.0005213798103890203,0.0006909287374076567,0.0009099441056513169,0.001071274258288983,1.8012972982802887e-06,6.495354476350834e-07,3.3674215620923014e-06,1.9054623143484745e-06,6.75769255375172e-07,1.0863267634114387e-06,2.737273100941235e-07,5.585407696613483e-07,7.401741706969309e-07,9.747996968660464e-07,0.002287773394116453,0.004922067188343083,0.0040226281297824195,2.450832745915372e-06,5.272883876440776e-06,4.30933796610506e-06
30,Dominican Republic,0.0151032622363214,38.92542954975439,10738.957,0.0,0.004396297049342947,0.004216548251657625,0.0011974728568193778,0.0011239340765150953,0.0011545425621636869,0.0005440781771127402,0.0005836310012490531,0.0009941315469259833,0.00089262674355928,0.019788614333853857,0.0,8.699662680650726e-05,8.34396471721385e-05,2.3696328538856867e-05,2.2241097976833412e-05,2.2846797494676692e-05,1.0766553214350248e-05,1.154924879699849e-05,1.967248577923582e-05,1.766384637237846e-05,0.004396297049342947,0.005414021108477003,0.005292944107525839,8.699662680650726e-05,0.00010713597571099537,0.00010474002963447312
32,Brazil,0.0163460410545679,42.546465934952785,211049.519,0.0,0.008134020849104343,0.0032422224572297193,0.0005016342755220437,0.0007390315534000832,0.0019486662372156913,0.0012052984875782458,9.152184684350537e-05,0.00031520965988376113,0.00016843579760948555,0.38889973549911433,0.0,0.0031633185567609603,0.0012608994560459263,0.00019508543706781264,0.00028740917564279195,0.0007578357842292367,0.00046874026301666237,3.559282202982969e-05,0.0001225849533555605,6.550463713891128e-05,0.008134020849104343,0.003743856732751763,0.004468163582530772,0.0031633185567609603,0.001455984893113739,0.0017376676354129924
33,Belize,0.017108831694106,39.75522026438614,390.351,0.005325049395844162,0.0014326395817067163,0.0011151413514145214,0.0024676727928501195,0.001725251881745837,0.0011303977903396143,0.0003888385077051367,0.001368960207056403,0.0015828598877818626,0.0005720202879726901,0.0007192975438708049,3.83029495142142e-06,1.0304941323737383e-06,8.021184351412354e-07,1.7749909789739005e-06,1.240969441098265e-06,8.130923541882696e-07,2.7969058355469385e-07,9.846897145925392e-07,1.1385472295731117e-06,4.114527881830265e-07,0.006757688977550878,0.003582814144264641,0.006768328562601544,4.860789083795158e-06,2.577109414115136e-06,4.868442111189906e-06
34,Jamaica,0.0181528663243043,38.73103756106478,2948.277,0.007640751396003329,0.0,0.001144453865091005,0.0020367137559257694,0.0013890003487621197,0.0018790145333869655,0.000976908424704767,0.0008704221137008271,0.0016247086286120614,0.0005908932794876655,0.005432773080511604,4.151046849908834e-05,0.0,6.217558150153871e-06,1.10650036659012e-05,7.546123703576073e-06,1.0208259574874778e-05,5.3073217918610555e-06,4.728805827995864e-06,8.826673301198532e-06,3.2101891022558084e-06,0.007640751396003329,0.0031811676210167744,0.007330947328654407,4.151046849908834e-05,1.728256181605507e-05,3.982737330176211e-05
35,Ecuador,0.0182537594917851,39.87866141106866,17373.657,0.004907145310496703,0.0024737983612893367,0.002705578942634037,0.0016104637999055746,0.0009507644243592874,0.001585980988013432,0.0013730628815225296,0.00039382934093180644,0.0013212130192224436,0.0009319224659804763,0.03201433788604055,0.00015709900802614082,7.919701660025023e-05,8.661731844684238e-05,5.155793224341387e-05,3.043809353146507e-05,5.077413123109844e-05,4.395769902784273e-05,1.2608185590027511e-05,4.22977600168231e-05,2.9834880709491097e-05,0.007380943671786039,0.004316042742539611,0.006556773120029976,0.00023629602462639106,0.00013817525069025624,0.00020991075010674796
36,Paraguay,0.0188485816544623,41.87879996960134,7044.639,0.0021760298254060355,0.0005138702773354356,0.004830749866691914,0.0025099100923448377,0.0023479178230498806,0.0020943639558797323,0.0010314434567424225,0.000588596114127637,0.0020319265421554432,0.0007237737653983571,0.01298111579106108,2.824729512839817e-05,6.670609571675959e-06,6.270852337718061e-05,3.258143353388114e-05,3.0478593128906557e-05,2.7187181019899542e-05,1.3389286943905685e-05,7.640634311659458e-06,2.637667372265016e-05,9.39539105516835e-06,0.002689900102741471,0.007340659959036752,0.008818021657353473,3.491790470007413e-05,9.528995691106176e-05,0.00011446776018218975
38,Colombia,0.0196572729794308,40.56181890323955,50339.443,0.0,0.0023578677716829016,0.006423662567174772,0.001343224202899042,0.0020557999436659783,0.0019477971328819394,0.001831647897868005,0.0008035187199569999,0.002204249492985007,0.0006895052719753236,0.09276020225316288,0.0,0.00021871629138752043,0.0005958602389372033,0.00012459774873225862,0.000190696418566497,0.00018067805599425948,0.00016990402946281678,7.453455897741385e-05,0.000204466628785721,6.39586484830531e-05,0.0023578677716829016,0.0077668867700738135,0.009532518459333254,0.00021871629138752043,0.0007204579876694619,0.0008842383402697612
42,Mexico,0.0256153700937874,39.01892149706027,127575.529,0.01744427846791806,0.0,0.002206794321780575,0.001297661573412768,0.0013508853201381439,0.0012010463669672165,0.0006465060066086125,7.752854785639884e-05,0.0007956867072851938,0.0005949829349222339,0.23508269395420694,0.004100847976325543,0.0,0.0005187791541670246,0.0003050577785187284,0.00031756976028126613,0.0002823452155105663,0.00015198237369112893,1.8225619888439898e-05,0.00018705217469215587,0.00013987019119829933,0.01744427846791806,0.003504455895193343,0.0046666358837778,0.004100847976325543,0.000823836932685753,0.0010970453352618565
47,Peru,0.0291863900484182,39.591687372004095,32510.462,0.003989724196814266,0.0005924682085647483,0.005463295572758981,0.00360413310283407,0.0033794503916900016,0.003472182728981622,0.0017079438418013265,0.0012683039106882257,0.003948219553227863,0.0017606685249026682,0.05990684144963158,0.00023901177488631095,3.5492899034435634e-05,0.0003272887816697464,0.00021591223035484933,0.00020245219880186827,0.0002080075002292511,0.0001023175209356667,7.598008128754722e-05,0.00023652536278355682,0.00010547609016670085,0.004582192405379015,0.009067428675593051,0.015536768951291706,0.0002745046739207466,0.0005432010120245957,0.000930758754204591
48,El Salvador,0.0324625100508179,41.29625051697575,6453.55,0.0043062246608175075,0.0007234505986818518,0.008585897643838693,0.005500821708085947,0.0034766699832910006,0.00275896029526793,0.001041246220891194,0.001308267945787945,0.0033751241378138326,0.0013858469270605514,0.011891919488479428,5.120927696574643e-05,8.603216273416822e-06,0.00010210280351685495,6.541532887303797e-05,4.1344279529309695e-05,3.2809333703237654e-05,1.2382416226521546e-05,1.555781708066861e-05,4.013670451050564e-05,1.64803800799607e-05,0.0050296752594993594,0.01408671935192464,0.013346115510112453,5.9812493239163254e-05,0.0001675181323898929,0.00015871093113020384
50,Bolivia,0.0377542707487625,41.67038107904153,11513.102,0.006183019721741398,0.0008614563245289173,0.00952998254711374,0.002359485853084125,0.003950489723593168,0.004809499930052047,0.0016756059050886355,0.0020996824583404392,0.004166675913366323,0.002118372483965442,0.021215126875386646,0.0001311735478697616,1.8275905222485234e-05,0.0002021797888572384,5.005679173385961e-05,8.381014070594017e-05,0.00010203415122321737,3.5548191869602474e-05,4.4545029751716154e-05,8.839655815068408e-05,4.494154101665481e-05,0.007044476046270316,0.011889468400197866,0.018820326414406053,0.00014944945309224684,0.000252236580591098,0.00039927561271781506
55,Nicaragua,0.0744948927207131,45.257587152808036,6545.503,0.007465265723066073,0.001071959870797791,0.02086011078765336,0.006132610504828399,0.009004964996474012,0.0034310085904037126,0.007568133921422342,0.006381076492309735,0.0075061877609715714,0.005073574371153963,0.012061360753011993,9.004126300299483e-05,1.2929294714444283e-05,0.00025160132155768435,7.396762765644631e-05,0.00010861213139071842,4.138263235554234e-05,9.128199345338219e-05,7.696446556631207e-05,9.053483846492147e-05,6.119421079772392e-05,0.008537225593863863,0.02699272129248176,0.03896494613273534,0.00010297055771743911,0.0003255689492141307,0.00046997027202860044
59,Honduras,0.0930566980680108,46.54619839320857,9746.115,0.016539673176236936,0.0015976179297397775,0.017052623693710398,0.013167508712480992,0.012769506088871367,0.009702327177249344,0.004681438725054978,0.0,0.012307224789851207,0.005238779798351123,0.017959110087542775,0.0002970378113840174,2.8691796278028845e-05,0.00030624994619678534,0.00023647673854612476,0.00022932896561358865,0.00017424516188157911,8.407447343134825e-05,0.0,0.00022102680487307334,9.408382312298295e-05,0.018137291105976713,0.03022013240619139,0.044699276579378014,0.00032572960766204625,0.00054272668474291,0.0008027592289225724
66,Guatemala,0.133517822374511,46.2290064990409,17581.476,0.03164262890188571,0.003505958102538588,0.026623922423984772,0.020109966983373986,0.015468440201137157,0.006022508984955166,0.005819405783126908,0.005622432067984641,0.012633054092694116,0.006069505695057034,0.03239728476274815,0.001025135259176356,0.0001135835230142068,0.0008625427962711506,0.0006515083269298304,0.0005011354620317817,0.00019511293857180182,0.0001885329463059458,0.00018215153276570536,0.0004092766508642122,0.00019663550437188434,0.035148587004424296,0.04673388940735876,0.05163534682495502,0.001138718782190563,0.0015140511232009809,0.0016728450349113313
75,Haiti,0.1995876967052113,48.362739207684,11263.079,0.03043914122517125,0.006434860377372327,0.03806244707918007,0.010980174148263981,0.022791603610089403,0.020033911438487064,0.016221900467389555,0.020369776776249977,0.01649915689840899,0.01775472587694675,0.020754410930477547,0.0006317464453580438,0.0001335517365522331,0.000789963667700858,0.00022788704636127695,0.00047302630708835104,0.0004157920305391551,0.0003366759883735086,0.0004227627177763902,0.0003424302822760036,0.0003684888768081362,0.036874001602543574,0.04904262122744405,0.11367107506757174,0.000765298181910277,0.001017850714062135,0.002359176202861545
